model,Kelly-Alike (per-bet),K_full_cap,K_full_lev,K_half_cap,K_half_lev
Claude Opus 4.6,9.48,257.72,-100.0,4541.07,770456.59
Gemini 3,3.94,562.31,6443.21,617.98,1163.9
Claude Sonnet 4.5,0.04,-100.0,-100.0,-100.0,-100.0
LLaMA 4 Maverick,-5.53,-100.0,-100.0,-100.0,-100.0
GPT-5.2 (Base),-1.71,-100.0,-100.0,-100.0,-100.0
Grok 4.1 Fast,-7.51,-100.0,-100.0,-100.0,-100.0
GPT-5.2 (High),-1.33,-100.0,-100.0,-100.0,-100.0
DeepSeek V3.2,-3.06,-100.0,-100.0,-100.0,-100.0
Minimax M2,-4.71,-100.0,-100.0,-100.0,-100.0
Kimi K2 Thinking,-3.6,-100.0,-100.0,-100.0,-100.0
Qwen 3 235B,-5.05,-100.0,-100.0,-100.0,-100.0
