model,brier_dS,brier_dS_ci90,brier_D,brier_D_ci90,brier_ROI,brier_ROI_ci90,log_dS,log_dS_ci90,log_D,log_D_ci90,log_ROI,log_ROI_ci90,spherical_dS,spherical_dS_ci90,spherical_D,spherical_D_ci90,spherical_ROI,spherical_ROI_ci90
Claude Opus 4.6,12.52,5.08,11.77,2.36,24.29,6.22,11.66,5.11,11.93,4.51,23.58,5.72,4.21,3.87,5.33,1.56,9.55,4.86
Gemini 3,5.82,5.02,4.97,1.35,10.79,5.74,4.57,4.5,5.7,1.83,10.27,5.29,-0.82,3.88,1.83,0.63,1.01,3.86
GPT-5.2 (Base),-143.11,47.84,131.83,51.13,-11.28,14.79,-38.08,12.81,32.77,9.84,-5.31,12.25,-64.32,26.95,54.12,27.07,-10.2,9.2
GPT-5.2 (High),-143.01,42.71,132.4,45.47,-10.62,14.28,-44.1,12.6,39.29,10.6,-4.81,12.0,-73.78,25.02,64.78,26.0,-8.99,9.26
Claude Opus 4.5,-142.17,43.36,131.3,49.15,-10.86,14.82,-38.44,12.67,33.49,9.67,-4.95,12.83,-74.51,24.06,65.0,26.92,-9.52,9.88
Claude Sonnet 4.5,-99.36,27.98,92.63,23.6,-6.73,11.87,-30.25,11.84,28.65,5.92,-1.61,10.3,-50.67,17.1,44.55,14.75,-6.12,7.7
Gemini 3 Pro,-110.88,39.44,85.32,37.17,-25.56,10.64,-40.49,10.77,20.2,3.24,-20.28,10.15,-49.99,16.75,30.77,13.75,-19.22,9.65
DeepSeek V3.2,-118.92,29.15,107.35,28.58,-11.57,11.96,-36.88,10.22,32.58,5.95,-4.29,10.4,-62.65,21.01,53.17,19.57,-9.48,8.02
Kimi K2 Thinking,-139.18,38.29,130.74,40.71,-8.44,13.08,-41.79,10.89,37.71,8.59,-4.08,11.04,-67.8,22.55,57.81,22.99,-9.99,9.94
Minimax M2,-124.6,37.43,113.73,39.89,-10.87,11.7,-38.63,9.75,32.84,6.95,-5.79,10.35,-72.58,22.58,59.74,21.68,-12.84,10.31
Qwen 3 235B,-121.75,27.03,108.11,26.45,-13.64,12.85,-41.55,10.49,32.53,5.28,-9.02,11.15,-65.23,20.8,55.15,19.23,-10.08,7.99
LLaMA 4 Maverick,-103.79,28.0,88.86,25.3,-14.92,10.5,-36.13,11.12,28.0,5.55,-8.13,10.19,-52.63,14.73,38.86,13.52,-13.77,7.44
Grok 4.1 Fast,-131.67,34.96,109.43,33.13,-22.24,9.63,-45.62,10.66,30.3,5.64,-15.32,9.15,-70.87,21.54,55.54,19.11,-15.33,6.69
