model,dS,dS_ci90,Proper,Proper_ci90,Max (Mkt),Max (Mkt)_ci90,Max (Grp),Max (Grp)_ci90,Inv-Margin,Inv-Margin_ci90,Kelly-Alike,Kelly-Alike_ci90,Kelly
Claude Opus 4.6,0.003,0.0019,21.8856,6.0,8.386,3.74,8.4156,17.13,0.2918,4.38,8.8992,3.02,-100.0
Gemini 3,0.0013,0.0011,11.5001,5.86,1.9292,3.36,-4.2444,13.87,0.3693,2.96,4.0152,1.63,13560.1254
Gemini 3 Pro,-0.0548,0.019,-20.0535,12.31,-6.9994,5.48,-17.1101,15.77,-8.0649,10.67,-7.6917,5.42,-100.0
LLaMA 4 Maverick,-0.0682,0.0232,-11.8764,10.06,-5.9103,4.8,-18.1318,16.06,-5.3065,4.65,-3.8179,4.34,-100.0
Claude Opus 4.5,-0.0752,0.0283,-5.9372,12.48,-3.5251,5.11,-18.14,15.06,-4.307,4.26,0.7786,6.03,-100.0
Claude Sonnet 4.5,-0.0754,0.0264,-1.0992,10.81,0.4632,3.8,-14.1256,14.38,0.0226,2.7,2.4925,3.83,-100.0
Qwen 3 235B,-0.0813,0.0176,-12.8661,11.22,-6.7468,4.63,-3.6601,25.94,11.5595,13.08,-4.5739,4.78,-100.0
GPT-5.2 (Base),-0.0859,0.0298,-6.6349,12.04,-0.654,3.59,-13.453,16.28,0.0729,1.47,0.562,3.72,-100.0
Kimi K2 Thinking,-0.087,0.0271,-2.2263,11.87,-4.9749,4.31,-18.0603,14.86,-4.2411,4.31,0.0131,5.59,-100.0
DeepSeek V3.2,-0.0875,0.0237,-6.5729,10.59,-3.4741,3.97,-18.9764,14.64,-3.8184,3.84,-0.1904,4.24,-100.0
GPT-5.2 (High),-0.0931,0.0295,-10.0455,11.58,-2.4508,3.7,-10.8705,16.49,-0.4197,1.52,-0.0398,4.06,-100.0
Minimax M2,-0.0976,0.0288,-9.0687,9.48,-5.1141,4.01,-9.1576,24.1,-2.6628,2.39,-2.4313,4.83,-100.0
