model,dS,dS_ci90,Proper,Proper_ci90,Max (Mkt),Max (Mkt)_ci90,Max (Grp),Max (Grp)_ci90,Inv-Margin,Inv-Margin_ci90,Kelly-Alike,Kelly-Alike_ci90
Claude Opus 4.6,0.0041,0.0022,24.292,6.2185,9.3845,4.1303,3.8143,14.388,0.0295,5.1156,9.479,3.4015
Gemini 3,0.0013,0.0011,10.7881,5.736,2.5135,3.2329,-4.6165,15.808,1.0047,3.379,3.9429,1.7824
Claude Sonnet 4.5,-0.0508,0.0138,-6.7323,11.8661,-0.8769,4.5493,-20.8414,11.8038,-0.6402,3.9784,0.0405,4.5068
LLaMA 4 Maverick,-0.0535,0.0142,-14.9239,10.5035,-6.6577,5.5307,-22.6624,14.13,-3.9032,5.2947,-5.5293,5.0894
GPT-5.2 (Base),-0.0587,0.024,-11.2801,14.7901,-2.5821,4.1842,-21.1876,14.3775,-0.1922,1.966,-1.7105,4.6626
Grok 4.1 Fast,-0.0619,0.0181,-22.2384,9.6302,-7.0374,4.5634,-20.9042,14.4635,-2.3886,2.9118,-7.5066,4.5535
GPT-5.2 (High),-0.0631,0.0239,-10.6177,14.2841,-3.2551,4.0954,-16.1411,14.8473,-0.2835,1.7142,-1.3315,4.8773
DeepSeek V3.2,-0.0651,0.0165,-11.571,11.9606,-5.0267,4.6899,-24.5761,12.3719,-3.6027,3.364,-3.0551,5.0243
Minimax M2,-0.0688,0.0227,-10.8672,11.6974,-6.2374,4.4883,-27.3325,11.6718,-2.6846,2.653,-4.7095,5.8654
Kimi K2 Thinking,-0.0696,0.0227,-8.4398,13.0793,-5.8919,4.7361,-23.8123,12.0497,-3.1091,4.7887,-3.5961,6.0603
Qwen 3 235B,-0.0703,0.0164,-13.6414,12.8506,-6.3123,5.1489,-19.4513,14.8749,11.8037,13.4042,-5.0507,5.4779
