model,brier_dS,brier_dS_ci90,brier_D,brier_D_ci90,brier_ROI,brier_ROI_ci90,log_dS,log_dS_ci90,log_D,log_D_ci90,log_ROI,log_ROI_ci90,spherical_dS,spherical_dS_ci90,spherical_D,spherical_D_ci90,spherical_ROI,spherical_ROI_ci90
Gemini 3.1 Pro (agent),13.25,1.75,6.09,2.34,19.34,3.37,11.13,1.87,7.89,3.2,19.02,3.14,7.61,2.59,2.68,0.94,10.28,3.23
Opus 4.8 (agent),-39.48,30.28,43.72,25.75,4.24,11.7,-1.44,9.34,11.54,3.67,10.1,9.99,-11.24,11.32,14.63,8.75,3.39,6.09
GPT-5.5 High (agent),-35.06,20.73,37.73,14.32,2.67,10.39,-11.39,13.33,19.87,8.93,8.48,8.93,-10.4,10.91,13.79,8.82,3.39,5.22
Claude Opus 4.8,-16.65,11.07,14.06,3.36,-2.59,9.26,-3.71,8.99,7.54,1.61,3.83,8.42,-4.46,7.97,5.13,2.54,0.67,6.43
Gemini 3.1 Pro,-23.02,25.21,25.29,19.44,2.27,12.34,-3.0,12.42,8.87,3.98,5.87,10.73,-4.04,8.32,-0.11,8.34,-4.15,5.11
GPT-5.5 (High),-38.97,24.44,35.38,21.3,-3.59,9.06,-7.41,10.06,8.96,3.16,1.55,8.45,-12.99,12.24,13.93,9.9,0.95,5.21
Grok 4.3,-107.1,30.34,91.1,27.47,-15.99,11.45,-32.49,13.97,26.24,5.1,-6.25,10.47,-73.85,21.71,60.89,18.11,-12.96,9.79
Grok 4.20,-83.66,27.23,69.91,21.94,-13.75,13.56,-27.03,15.3,22.73,4.8,-4.3,12.35,-57.34,21.0,47.43,15.76,-9.91,11.5
Qwen 3.6 Plus,-80.4,28.77,71.7,24.14,-8.71,9.49,-26.19,11.85,24.12,5.78,-2.07,8.5,-24.08,23.56,19.06,21.73,-5.02,5.49
DeepSeek V4 Pro,-67.24,29.14,64.39,25.33,-2.86,8.62,-17.13,8.76,18.77,4.09,1.64,7.08,-23.62,22.31,19.59,20.71,-4.03,5.15
Minimax M2.7,-127.24,47.72,116.01,43.6,-11.23,9.28,-31.06,13.19,29.57,6.98,-1.49,8.54,-55.02,34.72,49.67,30.6,-5.35,6.86
Claude Sonnet 4.6,-33.64,23.76,36.12,19.6,2.48,9.3,-1.61,9.61,9.05,3.21,7.44,8.32,-15.89,13.03,18.49,10.14,2.6,6.42
Gemini 3.5 Flash,-36.34,57.75,41.99,55.02,5.65,8.64,1.01,7.89,6.31,1.78,7.32,7.64,-8.08,16.55,10.2,15.08,2.12,4.44
