model,brier_dS,brier_dS_ci90,brier_D,brier_D_ci90,brier_ROI,brier_ROI_ci90,log_dS,log_dS_ci90,log_D,log_D_ci90,log_ROI,log_ROI_ci90,spherical_dS,spherical_dS_ci90,spherical_D,spherical_D_ci90,spherical_ROI,spherical_ROI_ci90
Claude Opus 4.6,5.44,5.82,14.37,2.18,19.8,6.39,7.84,5.15,10.55,1.49,18.39,5.73,5.1,4.74,23.02,4.41,1.41,5.02
Gemini 3,9.2,12.35,9.99,4.1,19.19,15.2,7.21,9.98,7.86,2.77,15.07,11.81,4.96,3.68,20.18,4.7,-3.52,4.44
GPT-5.2 (Base),-184.83,48.65,176.01,49.14,-8.82,11.61,-36.48,10.46,34.22,5.12,-2.26,9.67,-47.41,11.34,58.68,9.48,-8.67,5.01
GPT-5.2 (High),-193.99,45.76,181.48,46.35,-12.51,11.37,-42.45,10.21,37.1,5.09,-5.35,9.64,-47.33,10.64,56.21,9.31,-9.07,4.58
Claude Opus 4.5,-179.82,52.15,172.04,53.2,-7.78,12.19,-35.28,10.19,32.99,4.86,-2.29,10.42,-47.56,10.93,54.81,9.32,-10.81,5.62
Claude Sonnet 4.5,-137.21,41.79,133.82,39.41,-3.39,10.31,-28.22,9.33,29.64,3.94,1.41,8.71,-39.98,9.51,51.36,7.73,-8.26,4.97
Gemini 3 Pro,-132.3,40.24,109.05,35.97,-23.24,11.78,-45.75,12.83,27.72,5.9,-18.04,9.35,-34.91,10.55,48.2,8.34,-13.28,6.37
DeepSeek V3.2,-149.54,35.42,140.73,33.37,-8.81,10.2,-37.24,9.34,34.48,4.03,-2.77,8.66,-44.6,9.22,54.62,7.42,-9.28,4.83
Kimi K2 Thinking,-164.67,43.47,160.98,42.52,-3.69,11.39,-34.91,9.19,34.19,4.09,-0.72,9.59,-42.73,9.48,54.51,7.7,-8.83,5.36
Minimax M2,-161.88,41.23,150.75,41.86,-11.12,9.15,-38.39,8.31,32.91,3.83,-5.48,8.22,-51.17,10.14,56.19,8.74,-12.03,5.09
Qwen 3 235B,-141.58,25.97,127.74,24.48,-13.84,11.0,-44.09,9.77,33.96,3.66,-10.14,9.29,-38.68,8.42,48.37,6.21,-9.47,5.7
LLaMA 4 Maverick,-128.53,42.26,115.7,39.88,-12.83,9.89,-37.07,9.39,29.06,4.12,-8.01,8.54,-38.02,9.01,46.44,7.13,-12.95,5.91
